company_name,website,hq_address,phone,source_url,confidence,notes
Patagonia,https://www.patagonia.com,"259 W. Santa Clara Street, Ventura, California 93001, USA",1-800-638-6464,https://help.patagonia.com/s/,High,"No ambiguity — Patagonia, Inc. is the well-known outdoor/apparel brand founded by Yvon Chouinard. Phone number (1-800-638-6464) confirmed directly on Patagonia's official help center (help.patagonia.com) and corroborated by multiple independent sources. HQ address consistently confirmed across all sources."
The North Face,https://www.thenorthface.com,"1551 Wewatta Street, Denver, Colorado 80202, United States",(888) 863-1968,https://www.thenorthface.com/en-us/help/contact-us,High,"The North Face is a subsidiary of VF Corporation. The phone number (888) 863-1968 is the publicly listed US customer service number, corroborated by multiple aggregators (ZoomInfo, Elliott.org, GetHuman). Some older sources list previous HQ addresses in Alameda or San Leandro, CA, but the current HQ at 1551 Wewatta Street, Denver, CO 80202 is confirmed by Wikipedia and multiple business directories. No ambiguity issues — this is the well-known outdoor/apparel brand."
REI Co-op,https://www.rei.com,"Issaquah, Washington, U.S.",1-800-426-4840,https://www.rei.com/about-rei/contact-us,High,"REI sold its Bellevue corporate campus in 2020 and moved to a distributed satellite office model, with its primary satellite in Issaquah, WA. Many older sources still list '6750 S. 228th St., Kent, WA 98032' as the HQ address, but current sources (Wikipedia, ZoomInfo, press releases) indicate Issaquah, WA as the current HQ city. No single consolidated street address is officially published for the current HQ. Phone number 1-800-426-4840 is confirmed directly from rei.com/about-rei/contact-us as the public customer service line."
Columbia Sportswear,https://www.columbia.com,"14375 NW Science Park Drive, Portland, OR 97229, United States",(800) 622-6953,https://www.columbia.com,High,"Phone number (800) 622-6953 is confirmed directly from columbia.com as the official customer contact number. The corporate HQ address (14375 NW Science Park Drive, Portland, OR 97229) is consistently corroborated across multiple third-party sources and aligns with the Portland, OR postal address noted on the company's Wikipedia entry and investor relations page. No ambiguity — this is the globally recognized outdoor/apparel brand traded on Nasdaq as COLM."
Arc'teryx,https://www.arcteryx.com,"110–2220 Dollarton Hwy, North Vancouver, British Columbia, V7H 1A8, Canada",1-866-458-2473,https://arcteryx.com/us/en/help/terms-and-conditions,High,"Website and phone number confirmed directly from Arc'teryx's official domain (arcteryx.com). HQ address is corroborated by multiple third-party aggregators (PissedConsumer, Elliott Report, ZoomInfo) and is consistent across sources. The phone number 1-866-458-2473 appears on the official Arc'teryx Terms and Conditions page. No industry ambiguity — Arc'teryx is clearly an outdoor/apparel company."
Cotopaxi,https://www.cotopaxi.com,"74 S. Main Street, Salt Lake City, Utah 84101, United States",844-268-6729,https://www.cotopaxi.com/pages/pro-sticker-thanks,High,"No ambiguity — Cotopaxi is a well-known outdoor gear and apparel brand (B Corp / Benefit Corporation) headquartered in Salt Lake City, UT, founded in 2014. Phone number 844-268-6729 is published directly on the official cotopaxi.com domain. HQ address of 74 S. Main Street is corroborated by multiple independent sources (ZoomInfo, LeadIQ, Wikipedia, Yelp) and is consistent with the registered legal entity name 'Global Uprising PBC dba Cotopaxi'."
Black Diamond Equipment,https://www.blackdiamondequipment.com,"2084 East 3900 South, Salt Lake City, UT 84124, United States",,https://blackdiamondequipment.com/pages/contact,High,"HQ address and website verified directly from the official Black Diamond Equipment contact/support page. No public phone number is listed on the official website; only email addresses and a support ticket form are provided. Third-party aggregators (ZoomInfo, GetHuman) cite (800) 775-5552, but this could not be confirmed from an official source and is therefore returned as null per policy."
Marmot,https://www.marmot.com,"5789 State Farm Drive, Suite 100, Rohnert Park, CA 94928, USA",1-888-357-3262,https://www.marmot.com/Support-Show?cfid=order-support,High,"Marmot (Marmot Mountain, LLC) is the well-known outdoor apparel and equipment brand founded in 1974, now a subsidiary of Newell Brands. The official customer service phone number (1-888-357-3262) is published directly on marmot.com. The HQ address (5789 State Farm Drive, Suite 100, Rohnert Park, CA 94928) is consistently corroborated across LinkedIn, Elliott Report, and third-party aggregators. No ambiguity with other companies sharing the name in the outdoor/apparel context."
Mountain Hardwear,https://www.mountainhardwear.com,"1414 Harbour Way South, Ford Point, Suite 1005, Richmond, CA 94804, United States",(877) 927-5649,https://www.mountainhardwear.com/who-we-are.html,High,"Phone number is the official Customer Care line published directly on mountainhardwear.com. HQ address corroborated by multiple sources (Elliott.org, Datanyze, LeadIQ, YellowPages) all pointing to the same address. Mountain Hardwear is a wholly-owned subsidiary of Columbia Sportswear."
Outdoor Research,https://www.outdoorresearch.com,"2203 1st Avenue South, Seattle, WA 98134, US",206-467-8197,https://www.outdoorresearch.com/pages/contact,High,Phone number 206-467-8197 is listed as the Office/HQ line on the official contact page; a separate customer service line (855-967-8197) is also published there. Address confirmed by both the official contact page and Wikipedia.
